Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date,is_min_pay_only,min_pay_info_missing,credit_history_months,credit_history_years,dti
CUS_0x102d,89064.52,7256.043333333334,5,3,1.0,1.0,Mortgage Loan,6,5,6.37,3.0,,648.36,30.57429935886147,30 Years and 3 Months,No,37.57275,296.09412,High_spent_Medium_value_payments,641.93744,2024-01-01,0.0,0,363,30.25,0.007279666
CUS_0x1051,35022.22,2859.518333333333,3,5,4.0,1.0,Student Loan,6,11,,5.0,Good,1000.44,25.390232145913483,28 Years and 6 Months,No,21.214577,259.34512,Low_spent_Small_value_payments,295.39215,2024-01-01,0.0,0,342,28.5,0.028565865
CUS_0x1269,42031.09,3762.590833333333,2,1,8.0,3.0,"Not Specified, Debt Consolidation Loan, and Auto Loan",1,5,14.11,2.0,Good,83.55,24.06558946667285,17 Years and 3 Months,No,66.50618,108.85586,High_spent_Medium_value_payments,450.89703,2024-01-01,0.0,0,207,17.25,0.0019878144
CUS_0x1290,10455.875,729.3229166666665,6,5,12.0,3.0,"Personal Loan, Payday Loan, and Credit-Builder Loan",11,19,9.71,0.0,Good,83.16,29.46491266999567,23 Years and 3 Months,No,25.748447,24.490505,Low_spent_Medium_value_payments,302.69333,2024-01-01,0.0,0,279,23.25,0.007953424
CUS_0x12d1,21384.94,1646.0783333333331,4,4,15.0,2.0,"Credit-Builder Loan, and Debt Consolidation Loan",24,15,14.37,9.0,Standard,691.53,24.884464354479032,27 Years and 0 Months,Yes,22.095625,168.2455,Low_spent_Medium_value_payments,254.26671,2024-01-01,1.0,0,324,27.0,0.032337245
CUS_0x12d5,62320.56,5068.38,9,9,18.0,5.0,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",23,15,17.24,15.0,,3589.56,38.3374492978831,1 Years and 11 Months,NM,171.34557,171.51086,High_spent_Small_value_payments,423.98157,2024-01-01,,1,23,1.9166666,0.05759833
CUS_0x133e,16626.25,1096.5208333333333,0,2,5.0,0.0,,13,7,6.39,0.0,Good,1113.26,25.30621989849736,22 Years and 10 Months,No,0.0,53.386192,Low_spent_Small_value_payments,346.2659,2024-01-01,0.0,0,274,22.833334,0.06695797
CUS_0x1383,80206.64,6766.886666666666,5,4,20.0,5.0,"Student Loan, Payday Loan, Not Specified, Payday Loan, and Payday Loan",11,16,7.0,6.0,Standard,1129.87,32.07508944823246,8 Years and 8 Months,Yes,260.41898,522.97705,Low_spent_Medium_value_payments,173.29263,2024-01-01,1.0,0,104,8.666667,0.014086988
CUS_0x143c,18578.88,1325.1134734621792,1,3,1.0,,"Auto Loan, Credit-Builder Loan, and Auto Loan",15,12,11.87,5.0,Good,779.49,39.53251721514203,31 Years and 6 Months,NM,140.10687,76.613594,Low_spent_Small_value_payments,317.03006,2024-01-01,,1,378,31.5,0.041955702
CUS_0x14d0,48089.16,3902.43,10,8,18.0,5.0,"Auto Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan",59,19,18.09,9.0,Bad,2654.6,38.36941222723186,7 Years and 11 Months,Yes,192.7402,61.60207,High_spent_Large_value_payments,375.90073,2024-01-01,1.0,0,95,7.9166665,0.05520163
CUS_0x150d,40085.46,3455.455,6,6,18.0,5.0,"Auto Loan, Student Loan, Payday Loan, Payday Loan, and Debt Consolidation Loan",45,12,8.97,12.0,Bad,2343.0,24.661418399765854,18 Years and 11 Months,Yes,142.11263,215.53871,Low_spent_Small_value_payments,277.89417,2024-01-01,1.0,0,227,18.916666,0.05845012
CUS_0x1550,48996.08,3799.006666666666,5,7,12.0,4.0,"Personal Loan, Credit-Builder Loan, Payday Loan, and Payday Loan",27,16,13.31,1.0,Standard,285.29,34.083763774388544,18 Years and 3 Months,Yes,135.68369,238.83092,High_spent_Small_value_payments,265.38605,2024-01-01,1.0,0,219,18.25,0.005822711
CUS_0x1589,71282.14,5807.178333333332,2,4,11.0,1.0,Home Equity Loan,9,4,5.98,5.0,Good,1440.78,36.60865463247785,32 Years and 11 Months,No,37.788868,99.49426,High_spent_Medium_value_payments,693.4347,2024-01-01,0.0,0,395,32.916668,0.020212356
CUS_0x1668,64980.72,5473.06,4,7,6.0,2.0,"Personal Loan, and Debt Consolidation Loan",7,1,0.78,3.0,,375.38,40.3179656523764,32 Years and 2 Months,No,88.44823,158.1411,,570.7167,2024-01-01,0.0,0,386,32.166668,0.0057767904
CUS_0x167a,17064.096,1541.007916666667,1,2,8.0,1.0,Credit-Builder Loan,16,-1,0.7,4.0,Good,858.33,27.915761261733014,20 Years and 3 Months,No,10.808131,173.85489,Low_spent_Small_value_payments,259.43777,2024-01-01,0.0,0,243,20.25,0.050300352
CUS_0x1688,56400.18,4991.015,7,5,30.0,,"Credit-Builder Loan, and Personal Loan",27,11,13.84,6.0,Standard,2582.73,28.124751848885943,17 Years and 10 Months,Yes,56.7839,199.86333,High_spent_Medium_value_payments,492.45428,2024-01-01,1.0,0,214,17.833334,0.045792937
CUS_0x1718,29062.92,2318.91,6,3,8.0,1.0,Credit-Builder Loan,27,13,13.94,4.0,Standard,50.19,25.7655096070954,20 Years and 8 Months,Yes,14.516223,150.3391,High_spent_Small_value_payments,327.03568,2024-01-01,1.0,0,248,20.666666,0.0017269427
CUS_0x1758,21787.63,1867.635833333333,0,3,5.0,3.0,"Auto Loan, Personal Loan, and Not Specified",2,2,4.6,3.0,Good,998.07,27.68903722083158,29 Years and 10 Months,NM,36.90148,206.33539,Low_spent_Small_value_payments,233.5267,2024-01-01,,1,358,29.833334,0.04580902
CUS_0x1764,33574.44,2864.870000000001,7,7,16.0,520.0,"Mortgage Loan, Personal Loan, Credit-Builder Loan, and Auto Loan",9,18,10.05,0.0,Standard,79.95,37.35440120265685,24 Years and 10 Months,No,109.681175,194.21428,Low_spent_Medium_value_payments,262.59155,2024-01-01,0.0,0,298,24.833334,0.0023812756
CUS_0x17e3,16579.3,1239.6083333333331,10,7,27.0,8.0,"Mortgage Loan, Personal Loan, Student Loan, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Auto Loan, and Student Loan",56,24,1.1,14.0,Bad,1790.35,26.17543251133808,9 Years and 0 Months,Yes,60.486652,61.911602,High_spent_Small_value_payments,261.5626,2024-01-01,1.0,0,108,9.0,0.10798706
CUS_0x18cb,47093.32,3873.481655361503,3,6,18.0,6.0,"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan",22,7,10.67,10.0,Standard,1036.19,35.976688625503186,8 Years and 10 Months,Yes,281.10223,219.11615,Low_spent_Medium_value_payments,251.78763,2024-01-01,1.0,0,106,8.833333,0.022002907
CUS_0x1942,83800.56,7269.38,3,3,5.0,2.0,"Not Specified, and Student Loan",7,11,9.41,1967.0,Standard,836.69,33.561374719336044,20 Years and 9 Months,Yes,117.35086,294.66107,Low_spent_Small_value_payments,604.9261,2024-01-01,1.0,0,249,20.75,0.0099843005
CUS_0x198e,18140.0,1375.666666666667,9,5,32.0,6.0,"Student Loan, Auto Loan, Mortgage Loan, Payday Loan, Home Equity Loan, and Credit-Builder Loan",60,24,19.63,12.0,,4087.94,25.802092498680224,12 Years and 11 Months,Yes,87.66264,82.165306,Low_spent_Small_value_payments,257.7387,2024-01-01,1.0,0,155,12.916667,0.22535501
CUS_0x19a7,62348.46,4942.705,4,3,16.0,7.0,"Credit-Builder Loan, Student Loan, Not Specified, Not Specified, Home Equity Loan, Mortgage Loan, and Payday Loan",18,21,7.3,10.0,Standard,1940.49,31.395055035738626,8 Years and 0 Months,Yes,350.45584,93.75902,High_spent_Medium_value_payments,300.05563,2024-01-01,1.0,0,96,8.0,0.031123303
CUS_0x19b5,11855.82,943.985,6,6,17.0,1.0,Not Specified,13,10,7.89,5.0,Standard,735.37,33.25243479274676,17 Years and 10 Months,Yes,5.7114167,80.05423,Low_spent_Small_value_payments,298.63284,2024-01-01,1.0,0,214,17.833334,0.062026076
CUS_0x1b09,96522.0,8334.5,4,4,3.0,4.0,"Personal Loan, Personal Loan, Not Specified, and Mortgage Loan",0,3,3.7,1.0,Good,1022.38,34.41648822558138,23 Years and 5 Months,No,247.94987,184.38968,High_spent_Large_value_payments,641.1105,2024-01-01,0.0,0,281,23.416666,0.010592197
CUS_0x1bff,19323.4,1749.2833333333335,10,831,18.0,8.0,"Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Payday Loan, Not Specified, Home Equity Loan, and Auto Loan",48,15,17.02,11.0,Bad,3033.25,37.06377992985223,8 Years and 11 Months,Yes,99.10135,18.03784,High_spent_Large_value_payments,302.368,2024-01-01,1.0,0,107,8.916667,0.15697289
CUS_0x1c12,115177.32,9529.11,4,4,2.0,4.0,"Debt Consolidation Loan, Auto Loan, Not Specified, and Not Specified",10,10,3.83,4.0,,801.79,39.31693774777721,17 Years and 2 Months,No,293.91385,168.39716,High_spent_Large_value_payments,730.6,2024-01-01,0.0,0,206,17.166666,0.006961353
CUS_0x1c1f,24922.12,2175.843333333333,8,4,5.0,0.0,,25,17,8.37,2.0,Standard,407.79,30.31173200112788,28 Years and 5 Months,No,0.0,173.6185,Low_spent_Medium_value_payments,323.96585,2024-01-01,0.0,0,341,28.416666,0.016362574
CUS_0x1c7e,13691.91,936.9925,4,5,15.0,0.0,,23,14,2.56,5.0,,179.27,35.82599022992844,23 Years and 2 Months,No,0.0,50.62332,Low_spent_Medium_value_payments,323.07593,2024-01-01,0.0,0,278,23.166666,0.013093133
CUS_0x1cc4,45034.34,4021.861666666666,4,7,8.0,2.0,"Home Equity Loan, and Mortgage Loan",7,13,6.3,0.0,Good,36.56,26.657627405344677,23 Years and 5 Months,No,33977.0,139.083,High_spent_Medium_value_payments,464.3768,2024-01-01,0.0,0,281,23.416666,0.000811825
CUS_0x1cce,20618.07,1434.1725,9,7,27.0,,"Payday Loan, Debt Consolidation Loan, Student Loan, Student Loan, and Debt Consolidation Loan",34,15,9.76,12.0,Bad,1424.45,34.756377681830216,12 Years and 5 Months,Yes,48.45413,103.996185,Low_spent_Small_value_payments,280.96692,2024-01-01,1.0,0,149,12.416667,0.06908745
CUS_0x1d1b,152574.77,12547.563333333335,2,5,3.0,3.0,"Payday Loan, Not Specified, and Personal Loan",29,1,5.62,4.0,Good,754.8,36.50972823085547,20 Years and 8 Months,No,205.48485,807.01355,Low_spent_Large_value_payments,512.25793,2024-01-01,0.0,0,248,20.666666,0.0049470826
CUS_0x1d33,39294.3,3292.525,9,10,30.0,3.0,"Debt Consolidation Loan, Home Equity Loan, and Debt Consolidation Loan",47,20,7.14,11.0,,1292.73,30.485752262005647,13 Years and 10 Months,Yes,60.744392,129.73967,Low_spent_Small_value_payments,428.76843,2024-01-01,1.0,0,166,13.833333,0.032898664
CUS_0x1d9a,28547.56,2553.9633333333336,9,9,30.0,7.0,"Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Student Loan, and Not Specified",49,17,27.29,8.0,Bad,4022.3,37.8169663711882,7 Years and 6 Months,Yes,87.87796,92.697586,Low_spent_Medium_value_payments,354.8208,2024-01-01,1.0,0,90,7.5,0.14089821
CUS_0x1e2d,10967.735,738.9779166666667,334,6,5.0,0.0,,9,15,19.36,0.0,Standard,1314.16,25.017048337237338,28 Years and 6 Months,Yes,0.0,37.311707,High_spent_Small_value_payments,296.5861,2024-01-01,1.0,0,342,28.5,0.11982054
